"pct.rtd"	"SCM"	"num.SCMs"	"log.rem"	"wet.exceedances"	"dry.exceedances"	"GM.exceedances"	"mass.load"
"1"	25	"BR-noinf"	1e+05	"-0.5"	33.2222222222222	160.888888888889	939	6.32125121678082e+22
"2"	25	"BR-noinf"	1e+05	"-0.25"	32.4444444444444	155.944444444444	939	4.90154894380663e+22
"3"	25	"BR-noinf"	1e+05	"0"	31.5	153.055555555556	939	4.10319168624657e+22
"4"	25	"BR-noinf"	1e+05	"0.25"	31.2222222222222	150.666666666667	939	3.65424240805491e+22
"5"	25	"BR-noinf"	1e+05	"0.5"	31	149.555555555556	939	3.40177967601336e+22
"6"	25	"BR-noinf"	1e+05	"0.75"	30.9444444444444	148.777777777778	939	3.25980944871595e+22
"7"	25	"BR-noinf"	1e+05	"1"	30.7222222222222	148.388888888889	939	3.17997372295994e+22
"8"	25	"BR-noinf"	1e+05	"1.5"	30.2777777777778	147.833333333333	939	3.10983252193662e+22
"9"	25	"BR-noinf"	1e+05	"2"	30.1111111111111	147.833333333333	939	3.08765192663128e+22
"10"	25	"BR-noinf"	1e+05	"3"	29.6666666666667	147.777777777778	939	3.07841974699841e+22
